hello, greeting
hello there, greeting
ahoy, greeting
good morning, greeting
good afternoon, greeting
Can you tell me what time you open, business_hour
what is your business hour, business_hour
what's time you are open?, business_hour
when's you are open?, business_hour
I’m calling to find out your business hours, business_hour
book a table for 4, booking
book  for 5 people for Friday night, booking
book Friday night for 6, booking
can I make a dining reservation, booking
make reservation at 9 pm for 2 people, booking
I want book for 6 people for tomorrow 4pm, booking
